LOG DATA COMP3008 PROJECT 2,,,,,
,,,,,
Time, UserID, System, Action, Event,
2017-04-03 9:19, User096, Facebook, generate n.1, success,
2017-04-03 9:19, User096, Facebook, generate n.2, success,
2017-04-03 9:19, User096, Facebook, generate n.3, success,
2017-04-03 9:19, User096, Facebook, generate n.4, success,
2017-04-03 9:19, User096, Facebook, generate n.5, success,
2017-04-03 9:19, User096, Facebook, save, success,
2017-04-03 9:19, User096, Facebook, emoji clicked, success,
2017-04-03 9:19, User096, Facebook, emoji clicked, success,
2017-04-03 9:19, User096, Facebook, emoji clicked, success,
2017-04-03 9:19, User096, Facebook, emoji clicked, success,
2017-04-03 9:19, User096, Facebook, emoji clicked, success,
2017-04-03 9:19, User096, Facebook, emoji clicked, success,
2017-04-03 9:19, User096, Facebook, submit password attempt #1, error,
2017-04-03 9:19, User096, Facebook, submit password attempt #2, error,
2017-04-03 9:19, User096, Facebook, submit password attempt #3, error,
2017-04-03 9:19, User096, Facebook, submit password attempt #4, error,
2017-04-03 9:19, User096, Facebook, submit password attempt #5, error,
2017-04-03 9:19, User096, Facebook, submit password attempt #6, error,
2017-04-03 9:19, User096, Facebook, emoji clicked, success,
2017-04-03 9:19, User096, Facebook, emoji clicked, success,
2017-04-03 9:19, User096, Facebook, emoji clicked, success,
2017-04-03 9:19, User096, Facebook, emoji clicked, success,
2017-04-03 9:19, User096, Facebook, emoji clicked, success,
2017-04-03 9:19, User096, Facebook, emoji clicked, success,
2017-04-03 9:19, User096, Facebook, submit password, success,
2017-04-03 9:19, User096, Facebook, next round, success,
2017-04-03 9:19, User096, Email, generate n.1, success,
2017-04-03 9:19, User096, Email, generate n.2, success,
2017-04-03 9:19, User096, Email, generate n.3, success,
2017-04-03 9:19, User096, Email, generate n.4, success,
2017-04-03 9:20, User096, Email, save, success,
2017-04-03 9:20, User096, Email, emoji clicked, success,
2017-04-03 9:20, User096, Email, emoji clicked, success,
2017-04-03 9:20, User096, Email, emoji clicked, success,
2017-04-03 9:20, User096, Email, emoji clicked, success,
2017-04-03 9:20, User096, Email, emoji clicked, success,
2017-04-03 9:20, User096, Email, emoji clicked, success,
2017-04-03 9:20, User096, Email, submit password, success,
2017-04-03 9:20, User096, Email, next round, success,
2017-04-03 9:20, User096, Bank Account, generate n.1, success,
2017-04-03 9:20, User096, Bank Account, generate n.2, success,
2017-04-03 9:20, User096, Bank Account, generate n.3, success,
2017-04-03 9:20, User096, Bank Account, generate n.4, success,
2017-04-03 9:20, User096, Bank Account, generate n.5, success,
2017-04-03 9:20, User096, Bank Account, generate n.6, success,
2017-04-03 9:20, User096, Bank Account, generate n.7, success,
2017-04-03 9:20, User096, Bank Account, generate n.8, success,
2017-04-03 9:20, User096, Bank Account, generate n.9, success,
2017-04-03 9:20, User096, Bank Account, generate n.10, success,
2017-04-03 9:20, User096, Bank Account, save, success,
2017-04-03 9:20, User096, Bank Account, emoji clicked, success,
2017-04-03 9:20, User096, Bank Account, emoji clicked, success,
2017-04-03 9:20, User096, Bank Account, emoji clicked, success,
2017-04-03 9:20, User096, Bank Account, emoji clicked, success,
2017-04-03 9:20, User096, Bank Account, emoji clicked, success,
2017-04-03 9:20, User096, Bank Account, emoji clicked, success,
2017-04-03 9:20, User096, Bank Account, submit password, success,
2017-04-03 9:20, User096, Bank Account, next round, success,
2017-04-03 9:20, User096, general, retest button clicked, success,
2017-04-03 9:20, User096, Bank Account (retest), emoji clicked, success,
2017-04-03 9:20, User096, Bank Account (retest), emoji clicked, success,
2017-04-03 9:20, User096, Bank Account (retest), emoji clicked, success,
2017-04-03 9:20, User096, Bank Account (retest), emoji clicked, success,
2017-04-03 9:20, User096, Bank Account (retest), emoji clicked, success,
2017-04-03 9:20, User096, Bank Account (retest), emoji clicked, success,
2017-04-03 9:20, User096, Bank Account (retest), submit password, success,
2017-04-03 9:21, User096, Email (retest), emoji clicked, success,
2017-04-03 9:21, User096, Email (retest), emoji clicked, success,
2017-04-03 9:21, User096, Email (retest), emoji clicked, success,
2017-04-03 9:21, User096, Email (retest), emoji clicked, success,
2017-04-03 9:21, User096, Email (retest), emoji clicked, success,
2017-04-03 9:21, User096, Email (retest), emoji clicked, success,
2017-04-03 9:21, User096, Email (retest), submit password, success,
2017-04-03 9:21, User096, Facebook (retest), emoji clicked, success,
2017-04-03 9:21, User096, Facebook (retest), emoji clicked, success,
2017-04-03 9:21, User096, Facebook (retest), emoji clicked, success,
2017-04-03 9:21, User096, Facebook (retest), emoji clicked, success,
2017-04-03 9:21, User096, Facebook (retest), emoji clicked, success,
2017-04-03 9:21, User096, Facebook (retest), emoji clicked, success,
2017-04-03 9:21, User096, Facebook (retest), submit password, success,
2017-04-03 9:21, User096, general, simulation complete, success,
2017-04-03 11:49, User009, Facebook, generate n.1, success,
2017-04-03 11:49, User009, Facebook, generate n.2, success,
2017-04-03 11:49, User009, Facebook, generate n.3, success,
2017-04-03 11:49, User009, Facebook, save, success,
2017-04-03 11:49, User009, Facebook, emoji clicked, success,
2017-04-03 11:49, User009, Facebook, emoji clicked, success,
2017-04-03 11:49, User009, Facebook, emoji clicked, success,
2017-04-03 11:49, User009, Facebook, emoji clicked, success,
2017-04-03 11:50, User009, Facebook, emoji clicked, success,
2017-04-03 11:50, User009, Facebook, emoji clicked, success,
2017-04-03 11:50, User009, Facebook, submit password, success,
